model,imbalance,pr_auc,pr_auc_std,recall,precision,seconds,params
LogReg,none,0.7557830338601642,0.038663650626662015,0.6284938941655359,0.8676002381277865,1,{}
LogReg,class_weight,0.7544952135793643,0.03974776497549821,0.9064676616915422,0.05288147994010191,2,{}
LogReg,undersample,0.7143174088935733,0.07952296036346496,0.864179104477612,0.33909105279481355,1,{}
LogReg,SMOTE,0.7574587091716548,0.04624151902567799,0.8582089552238805,0.39479770531505615,2,{}
RandomForest,none,0.8425620144245084,0.024159052220963463,0.7644052464947986,0.9353990924521878,39,"{'n_estimators': 100, 'max_depth': 12}"
RandomForest,class_weight,0.8262929983858968,0.03237280341561583,0.7886024423337856,0.8865729959373307,28,"{'n_estimators': 100, 'max_depth': 12}"
RandomForest,undersample,0.7661580429733983,0.030118734549329233,0.8521031207598371,0.5637266238418308,2,"{'n_estimators': 100, 'max_depth': 12}"
RandomForest,SMOTE,0.8463298981663986,0.026706460629821616,0.8308909995477161,0.8630497763621576,45,"{'n_estimators': 100, 'max_depth': 12}"
XGBoost,none,0.8548999557362388,0.026868792550771584,0.8006784260515604,0.9441278658896856,10,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}"
XGBoost,scale_pos_weight full,0.8545007254047909,0.02923607236922687,0.8279059249208502,0.8955577204290535,10,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}"
XGBoost,scale_pos_weight sqrt,0.855252730586539,0.028437933878984644,0.8249208502939845,0.9176552035827272,10,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}"
